listing_id,url,purpose,compound_name,developer_name,governorate,city,district,finishing_level,delivery_status,delivery_date,sale_type,payment_type,down_payment_amount,down_payment_pct,installment_years,installment_amount,installment_frequency,cash_discount_pct,amenities,floor_number,garden_area_sqm,roof_area_sqm,is_negotiable,evidence_note
503641035,https://www.bayut.eg/en/property/details-503641035.html,sale,Sarai,,Cairo,Mostakbal City,Mostakbal City,,off-plan,2027,,installments,6323767,,,,,,"[""Garden"", ""Open views""]",,115,,,"Description states garden 115m, delivery 2027, down payment and installments"
503952478,https://www.bayut.eg/en/property/details-503952478.html,sale,Midtown Sky,,Cairo,New Capital City,R7,,,,primary,,,,,,,"[""Swimming Pool"", ""Gym"", ""Green areas""]",,,,"Page description and project amenities reviewed"
503956008,https://www.bayut.eg/en/property/details-503956008.html,sale,Mivida Compound,Emaar,Cairo,New Cairo,5th Settlement,fully finished,ready,,resale,,,,,,,"[""Kitchen"", ""ACs""]",,,,"Description states Mivida, Emaar, fully finished and ready"
503676096,https://www.bayut.eg/en/property/details-503676096.html,sale,Mountain View Hyde Park Compound,,Cairo,New Cairo,5th Settlement,core & shell,,,,,,,,,,,"[""Garden""]",0,90,,,"Description states core and shell and garden 90m"
503962919,https://www.bayut.eg/en/property/details-503962919.html,sale,Galleria Moon Valley,,Cairo,New Cairo,5th Settlement,fully finished,,,,,,,,,,,"[""Kitchen"", ""ACs""]",,,,"Description and property details reviewed"
503913663,https://www.bayut.eg/en/property/details-503913663.html,rent,Hayat Residence Compound,,Cairo,New Cairo,First Settlement,super lux,ready,,,,,,,,,,"[""Kitchen cabinets"", ""Air conditioners"", ""Modern flooring""]",0,,,"Description states furnished quality and ready rental"
503966142,https://www.bayut.eg/en/property/details-503966142.html,rent,Hyde Park,,Cairo,New Cairo,5th Settlement,super lux,,,,,,,,,,,"[""Maid's Room"", ""Equipped Kitchen"", ""Air Conditioning""]",,,,"Description states premium finishing and amenities"
503914496,https://www.bayut.eg/en/property/details-503914496.html,rent,Eastown New Cairo,,Cairo,New Cairo,5th Settlement,fully finished,,,,,,,,,,,"[""Kitchen"", ""ACs""]",5,,,"Description states floor 5 and finishing"
503588414,https://www.bayut.eg/en/property/details-503588414.html,rent,Madinaty,,Cairo,Madinaty,,,,,,,,,,,,,,,"Description reviewed; unstated Group B values are null"
503934901,https://www.bayut.eg/en/property/details-503934901.html,rent,Sodic Eastown,,Cairo,New Cairo,5th Settlement,furnished,,,,,,,,,,,"[""Kitchen"", ""ACs""]",1,,,"Description states furnished unit and floor 1"
503480700,https://www.bayut.eg/en/property/details-503480700.html,sale,,,Giza,6th of October,Northern Expansions,fully finished,ready,,primary,,,,,,,"[""Open view""]",50,,,"Description states fully finished, ready and garden 50m"
503398534,https://www.bayut.eg/en/property/details-503398534.html,sale,ELYSIUM Compound,Line Developments,Giza,Sheikh Zayed,Green Revolution,,off-plan,,primary,installments,,10,9,,,"[""Security"", ""Clubhouse""]",,,,"Description states developer, 10 percent down payment and 9-year plan"
503967685,https://www.bayut.eg/en/property/details-503967685.html,sale,O West,,Giza,6th of October,,core & shell,ready,,resale,installments,,,,,,,"[""Clubhouse"", ""Green spaces""]",,,,"Description states O West resale and core-shell"
503967027,https://www.bayut.eg/en/property/details-503967027.html,sale,Mountain View iCity Compound,,Giza,6th of October,, ,ready,,primary,,,,,,,"[""Clubhouse"", ""Swimming Pool""]",,,,"Page description and project information reviewed"
503962707,https://www.bayut.eg/en/property/details-503962707.html,sale,Swan Lake Compound,Hassan Allam,Giza,Sheikh Zayed,Swan Lake West,,ready,,primary,,,,,,,"[""Clubhouse"", ""Green spaces""]",,,,"Description states Hassan Allam, ready and primary sale"
503716753,https://www.bayut.eg/en/property/details-503716753.html,rent,ZED West,ORA Developers,Giza,Sheikh Zayed,,furnished,,,,,,,,,,,"[""Security"", ""Clubhouse"", ""Green spaces""]",5,,,"Description states furnished rental and floor 5"
503956939,https://www.bayut.eg/en/property/details-503956939.html,rent,ZED West Compound,Naguib Sawiris,Giza,Sheikh Zayed,,furnished,,,,,,,,,,,"[""Security"", ""Clubhouse"", ""Green spaces""]",,,,"Description states furnished unit and developer"
503971825,https://www.bayut.eg/en/property/details-503971825.html,rent,Rawdat Zayed Compound,,Giza,Sheikh Zayed,,furnished,ready,,,,,,,,,,"[""Security"", ""CCTV"", ""Green space""]",,,,"Description states brand-new furnished and ready"
503943339,https://www.bayut.eg/en/property/details-503943339.html,rent,ZED West Compound,,Giza,Sheikh Zayed,,furnished,,,,,,,,,,,"[""Security"", ""Equipped Kitchen"", ""Air Conditioning""]",,,,"Description states fully furnished and amenities"
503949272,https://www.bayut.eg/en/property/details-503949272.html,rent,Palm Parks Compound,,Giza,6th of October City,,furnished,,,,,,,,,,,"[""Security"", ""Swimming pools"", ""Green spaces""]",,,,"Description states furnished studio and Palm Parks amenities"
503933760,https://www.bayut.eg/en/property/details-503933760.html,sale,Valore Antoniades,,Alexandria,Smouha,Valore Antoniades,semi-finished,off-plan,,primary,installments,3992800,,2,499100,quarterly,,"[""Open view"", ""Roof""]",,,86,,"Description states semi-finished, delivery within months, down payment and quarterly plan"
503945831,https://www.bayut.eg/en/property/details-503945831.html,sale,Alex West,,Alexandria,Agami,,core & shell,off-plan,,primary,installments,11325000,,3,,quarterly,,"[""Clubhouse"", ""School"", ""Hospital""]",,,,"Description states core shell, handover within 7 months and quarterly plan"
503946688,https://www.bayut.eg/en/property/details-503946688.html,sale,,,,Alexandria,Alexandria,Sidi Beshr,,ready,,resale,,,,,,,"[""Full utilities"", ""Open views""]",11,,,"Description states 11th floor, built 2010 and full utilities"
503974269,https://www.bayut.eg/en/property/details-503974269.html,rent,,,Alexandria,Alexandria,Laurent,furnished,,,,,,,,,,,"[""Air Conditioning"", ""Kitchen""]",,,,"Description states furnished rental in Laurent"
503577282,https://www.bayut.eg/en/property/details-503577282.html,rent,,,Alexandria,Alexandria,Laurent,fully finished,,,,,,,,,,,"[""Air Conditioning"", ""Kitchen""]",2,,,"Description states fully finished rental and floor 2"
